Gender,Title,GivenName,MiddleInitial,Surname,City,State,ZipCode,Birthday
male,Mr.,Kenneth,J,Montero,Richmond Hill,ON,L4C 3Y2,7/18/1968
male,Mr.,Johnny,R,Strickland,Toronto,ON,M5J 2R8,10/8/1992
female,Mrs.,Karen,H,Kirkwood,Montreal,QC,H3B 2M3,12/25/1971
female,Mrs.,Stacey,S,Davila,Toronto,ON,M4P 1A6,10/25/1938
male,Mr.,James,C,Allen,Forest,ON,N0N 1J0,6/20/1992
male,Mr.,Richard,J,Campbell,Sherbrooke,QC,J1H 1R4,10/21/1972
male,Dr.,Elliott,D,Shenk,Restoule,ON,P0H 2R0,1/24/1967
male,Mr.,Palmer,S,Mims,Vancouver,BC,V6B 3K9,4/9/1941
female,Ms.,Blanca,C,Kelley,Parry Sound,ON,P2A 1W8,9/6/1967
male,Mr.,Teddy,L,Whaley,Montreal,QC,H3B 2M3,9/28/1945
male,Mr.,William,M,Jeske,Kingston,ON,K7L 4V4,1/25/1946
female,Ms.,Kathleen,M,Rogge,Toronto,ON,M9C 3J5,1/30/1994
female,Ms.,Susie,W,Farkas,Edmonton,AB,T5M 3K3,2/27/1953
male,Mr.,Eric,M,Bonanno,Ottawa,ON,K1G 0Z2,7/16/1971
female,Mrs.,Deborah,S,Smith,Lethbridge,AB,T1T 1T1,3/18/1985
male,Mr.,Tony,F,Spruell,Inuvik,NT,X0E 0T0,8/2/1969
male,Mr.,Nick,E,Gardner,Calgary,AB,T2P 0H3,5/7/1946
male,Dr.,Keith,D,Guajardo,Kanata,ON,K2K 1L9,5/19/1965
female,Ms.,Evelyn,W,Loucks,Alexandra,PE,C1B 0P6,7/18/1993
male,Mr.,Steven,C,Reyes,Newmarket,ON,L3Y 2A3,5/30/1987
female,Ms.,Theresa,J,Parker,Trail,BC,V1R 3W5,10/1/1958
female,Ms.,Courtney,C,Tipton,Vermilion,AB,T0B 4M0,11/7/1974
female,Mrs.,Candice,C,Wood,Nanaimo,BC,V9R 5H9,8/8/1991
female,Mrs.,Joann,H,McKain,Montreal,QC,H3C 5K4,6/4/1961
female,Mrs.,Verdie,J,Carriere,Arthur,ON,N0G 1A0,8/29/1939
female,Ms.,Gayle,D,Newton,Yellowknife,NT,X1A 2R3,8/23/1943
male,Mr.,Jimmy,K,McNeil,Oshawa,ON,L1G 6Z8,8/10/1967
male,Mr.,Manuel,R,Huff,Francois Lake,BC,V0J 1E0,12/3/1994
female,Mrs.,Sandra,S,Ryant,Toronto,ON,M3J 2J1,5/7/1972
male,Mr.,James,M,Moser,Vancouver,BC,V5T 1Z7,11/24/1986
male,Mr.,Gary,J,Mikkelson,Calgary,AB,T2V 2W2,7/3/1946
male,Mr.,Jose,R,Murphy,Avonlea,SK,S4P 3Y2,8/19/1952
male,Mr.,Martin,P,Whitehead,Aylmer,ON,N5H 1L2,5/27/1974
female,Mrs.,Shelley,M,Cox,Williams Lake,BC,V2G 1C4,6/11/1932
male,Mr.,Javier,B,Dawson,St Marc Sur Richelieu,QC,J0L 2E0,10/2/1942
female,Ms.,Katherine,J,Dugan,Vancouver,BC,V6B 1E1,10/20/1974
female,Mrs.,Joel,A,Widener,Bonnyville,AB,T9N 2J6,2/3/1961
male,Mr.,John,K,Kitchens,Toronto,ON,M3J 2J1,2/20/1941
male,Mr.,John,A,Conn,Montreal,QC,H4N 3C5,10/21/1976
male,Mr.,Alexis,H,Bagley,London,ON,N6A 3M9,11/19/1932
female,Dr.,Edna,B,Taylor,Toronto,ON,M4P 1A6,10/30/1931
female,Ms.,Genevieve,V,Simmons,Windsor,ON,N8T 3H5,1/18/1949
male,Mr.,George,V,Moore,Thunder Bay,ON,P7E 1J5,8/22/1943
male,Mr.,Glen,L,Moriarty,Montreal,QC,H2X 1Y8,5/12/1963
male,Mr.,Daniel,D,Weaver,Markham,ON,L4K 3S3,5/26/1935
male,Mr.,Richard,M,Moore,Longlac,ON,P0T 2A0,11/22/1983
male,Mr.,Barry,J,Muro,Martintown,ON,K0C 1S0,12/12/1994
male,Mr.,Joseph,D,Perez,Toronto,ON,M9V 2X5,12/23/1931
male,Mr.,Frank,A,Cobbins,Montreal,QC,H3C 5K4,3/10/1933
male,Mr.,Walter,J,Ramsey,Holman,NT,X0E 0S0,5/21/1953
female,Mrs.,Jamie,W,Thornton,Toronto,ON,M4P 1E4,3/9/1942
male,Mr.,Paul,T,Atkinson,Saskatoon,SK,S7K 1W8,12/29/1971
female,Ms.,Margaret,H,Vincent,Moose Factory,ON,P0L 1W0,4/13/1953
female,Mrs.,Felicia,B,Riggs,Langdon,AB,T0J 1X0,1/29/1953
male,Mr.,James,D,Willbanks,Red Deer,AB,T4N 2A6,12/25/1990
female,Mrs.,Karen,R,Pell,Toronto,ON,M9N 1G4,1/27/1962
male,Mr.,Warren,J,Zamora,Hamilton,ON,L9A 4V3,7/29/1959
female,Ms.,Amber,J,Hoffman,Montreal,QC,H3C 3X6,7/28/1938
female,Mrs.,Juanita,M,Peeler,Toronto,ON,M3B 2W6,7/10/1957
female,Mrs.,Theresa,R,Minor,Clinton,ON,N0M 1L0,7/31/1984
